Price,Date Sold,Suburb,Num Bath,Num Bed,Num Parking,Property Size,Type,Suburb Population,Suburb Median Income,Cash Rate,Property Inflation Index,Km From Cbd,Population (Rounded)*,Median House Price (2020),Median House Price (2021),Percentage Change,Median House Rent (Per Week),Median Apartment Price (2020),Median Apartment Rent (Per Week),Public Housing Percentage,Avg. Years Held,Time To Cbd (Public Transport) [Town Hall St],Time To Cbd (Driving) [Town Hall St]
410000,2016-04-18,Oran Park,0,0,0,450,Land,4765,50336,2.0,155.2,45.41,5000.0,710000.0,820000.0,15.49,510.0,620000.0,350.0,0.0,1.7,95.0,55.0
1060000,2016-04-19,Ermington,2,4,2,720,House,10737,33644,2.0,155.2,15.0,11000.0,1200000.0,1400000.0,16.67,570.0,725000.0,510.0,17.0,11.7,50.0,30.0
930000,2016-04-19,Ermington,1,3,1,581,House,10737,33644,2.0,155.2,15.0,11000.0,1200000.0,1400000.0,16.67,570.0,725000.0,510.0,17.0,11.7,50.0,30.0
702000,2016-04-19,Bradbury,3,4,4,891,House,8800,31980,2.0,155.2,43.6,9000.0,555000.0,650000.0,17.12,395.0,460000.0,310.0,6.0,12.2,90.0,55.0
960000,2016-04-21,Como,2,4,2,784,House,3977,49296,2.0,155.2,20.31,4250.0,1200000.0,1500000.0,25.0,660.0,650000.0,510.0,0.0,16.6,35.0,40.0
665000,2016-04-21,Kingswood,1,6,6,676,House,9301,33228,2.0,155.2,46.09,9500.0,620000.0,740000.0,19.35,390.0,420000.0,360.0,11.0,11.0,60.0,50.0
1400000,2016-04-22,Petersham,2,3,3,247,House,8116,52884,2.0,155.2,5.99,8500.0,1500000.0,1800000.0,20.0,760.0,750000.0,460.0,3.0,14.8,15.0,15.0
1059000,2016-04-22,Ermington,2,4,3,552,House,10737,33644,2.0,155.2,15.0,11000.0,1200000.0,1400000.0,16.67,570.0,725000.0,510.0,17.0,11.7,50.0,30.0
750000,2016-04-22,Sefton,1,3,0,540,House,5808,24700,2.0,155.2,18.62,6000.0,780000.0,930000.0,19.23,475.0,515000.0,410.0,6.0,14.6,45.0,35.0
454000,2016-04-22,Oran Park,0,0,0,540,Land,4765,50336,2.0,155.2,45.41,5000.0,710000.0,820000.0,15.49,510.0,620000.0,350.0,0.0,1.7,95.0,55.0
2455000,2016-04-23,Taren Point,2,4,2,915,House,1734,36296,2.0,155.2,18.73,1800.0,1400000.0,1800000.0,28.57,920.0,990000.0,500.0,0.0,22.7,55.0,30.0
1330000,2016-04-23,Pennant Hills,2,3,1,929,House,7287,43472,2.0,155.2,18.83,7500.0,1400000.0,1800000.0,28.57,660.0,770000.0,490.0,2.0,12.6,50.0,35.0
910000,2016-04-23,Rouse Hill,2,5,2,700,House,7965,45812,2.0,155.2,34.5,12000.0,925000.0,1150000.0,24.32,600.0,720000.0,480.0,0.0,9.2,55.0,60.0
595000,2016-04-23,Riverstone,1,3,1,692,House,7247,36764,2.0,155.2,39.07,7250.0,725000.0,810000.0,11.72,510.0,655000.0,370.0,6.0,10.1,60.0,50.0
1160000,2016-04-26,Lewisham,1,3,1,242,House,3164,48204,2.0,155.2,6.74,3250.0,1400000.0,1700000.0,21.43,760.0,775000.0,510.0,1.0,12.6,20.0,20.0
1330000,2016-04-27,Petersham,1,3,0,234,House,8116,52884,2.0,155.2,5.99,8500.0,1500000.0,1800000.0,20.0,760.0,750000.0,460.0,3.0,14.8,15.0,15.0
410000,2016-04-27,Oran Park,0,0,0,450,Land,4765,50336,2.0,155.2,45.41,5000.0,710000.0,820000.0,15.49,510.0,620000.0,350.0,0.0,1.7,95.0,55.0
1080000,2016-04-28,Rouse Hill,2,4,2,700,House,7965,45812,2.0,155.2,34.5,12000.0,925000.0,1150000.0,24.32,600.0,720000.0,480.0,0.0,9.2,55.0,60.0
1580000,2016-04-30,Petersham,2,3,1,237,House,8116,52884,2.0,155.2,5.99,8500.0,1500000.0,1800000.0,20.0,760.0,750000.0,460.0,3.0,14.8,15.0,15.0
1510000,2016-04-30,Petersham,1,4,0,177,House,8116,52884,2.0,155.2,5.99,8500.0,1500000.0,1800000.0,20.0,760.0,750000.0,460.0,3.0,14.8,15.0,15.0
988000,2016-04-30,Como,1,2,2,575,House,3977,49296,2.0,155.2,20.31,4250.0,1200000.0,1500000.0,25.0,660.0,650000.0,510.0,0.0,16.6,35.0,40.0
7500000,2016-05-13,Birchgrove,4,6,4,605,House,3303,78780,1.77,155.2,2.94,3500.0,2100000.0,2800000.0,33.33,950.0,1300000.0,625.0,0.0,11.3,20.0,12.0
